RegionID,RegionName,StateName,SizeRank,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,Avg Median Housing Price
96451,91606,California,1632,623500,647400,631900,610000,612400,634600,638700,630800,566700,591100,608700,668600,,622033.3333
96159,90501,California,1655,682700,673500,644500,639300,632700,680600,690800,696800,667200,665400,670700,694400,714400,673307.6923
96113,90262,California,1700,430100,420200,413500,412300,437500,455600,453700,444500,438300,445500,439800,447200,439500,436746.1538
95989,90008,California,1775,750200,782300,869700,839900,827800,845900,821800,790400,819700,872100,935900,902500,917100,844253.8462
96410,91401,California,1781,714100,724900,695400,730300,694000,737300,725700,779900,773000,774100,737500,723300,767300,736676.9231
96449,91604,California,1838,1012700,1063200,1095100,1198200,1181100,1170000,1181700,1296300,1359900,1324900,1370700,1199700,1196700,1203861.538
96228,90744,California,1974,446500,454200,471800,474400,467500,480100,456400,454400,443400,467000,463300,438500,450500,459076.9231
96341,91306,California,2049,548100,550300,558900,569900,572700,577800,560800,564100,567100,576800,566100,564900,558400,564300
96452,91607,California,2078,922300,847200,834800,825800,856700,831800,815200,856800,868300,856900,805900,848200,804300,844169.2308
96346,91311,California,2106,610000,581900,575900,612900,665300,671900,628000,623200,607900,591600,581800,615700,645200,616253.8462
96437,91505,California,2254,741200,737200,715600,798600,786900,787100,716300,767700,796800,810500,781900,750300,749500,764584.6154
96013,90032,California,2277,546300,542000,571400,619000,621700,616600,591200,599300,602600,627200,625400,616600,604200,598730.7692
96044,90063,California,2352,467500,482300,505400,495100,497800,527100,506800,510200,458800,487100,478100,502900,520500,495353.8462
96095,90230,California,2500,782600,884600,822200,877200,766100,728000,688600,793000,840500,862700,799000,874000,920400,818376.9231
96356,91326,California,2506,817900,822800,829000,821100,847100,863700,830300,788500,784300,812500,818300,802800,806700,818846.1538
96045,90064,California,2627,1364900,1521000,1507500,1542700,1358200,1484300,1366600,1594000,1591100,1566300,1337200,1271700,1509600,1462700
96162,90504,California,2662,688900,683100,709500,717700,731100,724500,714500,704400,707600,727000,730700,723100,722000,714161.5385
95983,90002,California,2763,363400,365300,380300,393900,402200,395900,384800,384100,385600,388100,379400,389400,404500,385915.3846
96020,90039,California,2773,1041100,1026900,1128600,1055400,1057800,1021700,1100800,1151900,1071100,1046900,1090600,1121900,1083600,1076792.308
96355,91325,California,2834,704400,653400,639000,716800,800800,804500,755500,688800,741000,712200,728900,693500,772900,723976.9231
96412,91403,California,2873,1072600,1102700,1007300,934500,917200,1060800,1043000,987600,957000,964500,1125100,1097200,1065700,1025784.615
96375,91352,California,2921,543600,535800,554100,534200,547500,533800,552000,559300,562600,566500,573500,571100,566700,553900
96352,91321,California,3231,387600,450200,444400,436400,396100,464800,505400,502900,457100,469300,463900,444200,393400,447361.5385
96387,91364,California,3602,829300,837000,893500,812500,803600,760800,814700,828000,857700,891500,922400,904800,921100,852069.2308
96040,90059,California,3647,367700,388900,389300,375900,366700,376800,385100,395900,386800,394300,395500,394100,404700,386284.6154
96022,90041,California,3650,877500,951400,909100,931900,920000,978200,933100,909000,879800,917200,890600,871200,883400,911723.0769
96244,90810,California,3720,451000,464200,487400,462400,460100,452300,485700,489300,488400,450000,438200,450600,467900,465192.3077
96284,91042,California,3725,596100,639900,661100,641600,604000,606400,609200,621200,592900,609200,648800,673100,687900,630107.6923
96447,91602,California,3782,875100,816700,708200,723900,719700,772400,765100,805600,833100,839300,821100,826500,889400,799700
96338,91303,California,3905,450100,470200,556800,542300,530700,528200,554400,507400,536700,499000,556900,522300,482500,518269.2308
96354,91324,California,3913,631400,620600,614200,591500,598300,606600,594400,635000,644900,679900,644100,714200,719200,638023.0769
96436,91504,California,3948,769200,812100,747600,702300,698900,824500,864300,848300,834100,866000,842300,847300,895600,811730.7692
96043,90062,California,3971,583200,585800,566700,545700,553400,595900,609900,573200,558400,546100,557000,599000,658800,579469.2308
96337,91302,California,3975,1565200,1536000,1828400,1491500,1431400,1103300,1202300,1287400,1326300,1584900,1531700,1449100,1237400,1428838.462
96210,90710,California,4163,563400,605200,607900,546800,511100,470000,518300,512200,591700,576100,590200,547000,,553325
96217,90717,California,4169,622500,621400,616700,625500,604200,610600,615500,703600,683200,695100,636800,671600,690900,645969.2308
96222,90732,California,4387,545800,527200,556000,553200,581400,564100,553700,535200,544500,552700,584800,588500,598300,560415.3846
96342,91307,California,4557,680600,675500,687200,672500,681900,681600,704300,700000,682700,667200,668200,685100,710000,684369.2308
96366,91340,California,4692,468300,477500,473900,480100,487000,475300,483300,464500,471200,458700,487700,495600,511400,479576.9231
96438,91506,California,4792,807900,815200,840400,851900,867100,852800,837800,839500,808600,775700,769700,805900,797100,820738.4615
96103,90245,California,4816,1306100,1371200,1197700,1086400,1003100,1182600,1140100,1250200,1098900,1129000,1165200,1292900,1234500,1189069.231
96282,91040,California,4847,590600,591100,604800,595500,585800,602500,594400,602700,609400,616400,636000,627900,638200,607330.7692
96293,91105,California,5397,1309900,1365700,1246100,1257700,1107400,1132100,1069300,1230100,1299400,1244800,1291800,1271700,1465200,1253169.231
96160,90502,California,5483,442500,435900,501500,468500,507600,511800,524700,465800,395800,419600,434200,495000,504000,469761.5385
96426,91436,California,5667,1352500,1394900,1461900,1675700,1785500,1660000,1521300,1327100,1502600,1518800,1570500,1669400,1587400,1540584.615
